State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
900,01/13/2020,-0.617,-4.35,-11.9,-4.24,-2.15,6.71,1.9,-2.33,-2.47
2500,01/13/2020,0.914,-2.02,-15.2,-1.53,1,7.28,-1.48,0.981,0.898
3400,01/13/2020,0.887,-2.5,-10,2.43,0.54,6.54,2.4,1.63,2.71
3600,01/13/2020,0.389,-2.61,-14.3,-0.193,-0.331,9.15,-2.36,0.378,1.04
4400,01/13/2020,2.57,-3.05,-25.4,0.715,-0.0037,9.76,4.4,-3.06,-5.9
900,01/14/2020,2.89,-0.74,-3.99,-0.327,1.87,7.1,8.9,1.59,1.37
2500,01/14/2020,4.09,-0.933,-7.64,1.86,4.91,10.4,1.66,3.69,2.27
3400,01/14/2020,3.61,-1.03,-6.28,3.36,2.41,7.07,5.65,2.83,3.28
3600,01/14/2020,2.31,-0.0714,-8.7,2.4,2.02,13.5,-2.69,2.26,2.49
4400,01/14/2020,5.88,-0.991,-34.6,-1.8,4.29,6.39,4.71,2.93,1.62
900,01/15/2020,3.59,-2.41,-2.15,1.42,6.07,9.95,0.456,2.84,0.501
2500,01/15/2020,3.38,-2.2,-16,3.83,7.63,9.54,-1.24,5.44,2.96
3400,01/15/2020,3.31,-2.14,-6.11,2.51,3.35,4.75,5.16,2.4,1.56
3600,01/15/2020,2.23,-2.22,-3.64,1.91,4.25,8.47,-6.38,2.73,1.33
4400,01/15/2020,6.01,-1.43,-41,-0.301,6.04,3.03,0.51,6.05,6.07
900,01/16/2020,-1.37,-4.9,-7.77,-4.64,1.16,3.49,3.02,-2.12,-4.51
2500,01/16/2020,-0.641,-4.8,-14.3,-0.931,4.97,-1.19,-4.57,1.52,-2.3
3400,01/16/2020,-1.8,-4.98,-5.53,-4.88,-0.723,-7.21,-0.165,-2.66,-4.42
3600,01/16/2020,-1.89,-4.29,-6.18,-2.96,1.7,-0.444,-5.25,-0.776,-3.03
4400,01/16/2020,-2.06,-0.888,-33.4,-7.01,1.14,-0.33,-3.92,0.658,0.0916
900,01/17/2020,-0.451,-3.54,-3.39,-4.12,1.26,3.56,8.2,-0.78,-2.31
2500,01/17/2020,-1.38,-3.32,-10.2,-3.73,3.05,0.518,-0.461,0.0668,-3.4
3400,01/17/2020,-2.29,-3.83,-3.44,-4.89,-1.37,-3.15,-0.194,-2.89,-4.3
3600,01/17/2020,-1.85,-2.81,-1.61,-4.75,-0.026,-2.55,-2.7,-1.96,-3.75
4400,01/17/2020,-2.13,-2.71,-31.9,-1.55,4.54,-3.69,-7.68,3.84,3.01
900,01/18/2020,0.353,-4.44,-2.34,-4.97,3.37,6.29,11.4,0.246,-2.13
2500,01/18/2020,-0.39,-3.9,-7.57,-2.6,3.66,-1.2,-1.56,0.938,-2.38
3400,01/18/2020,-0.665,-3.14,0.831,-4.68,-0.166,-1.67,2.26,-2.32,-4.37
3600,01/18/2020,-1.22,-2.93,0.372,-5.18,-0.772,-3.07,0.893,-3.14,-5.35
4400,01/18/2020,-0.855,-5.25,-39.9,-1.13,5.41,-7.05,-8.58,5.82,6
900,01/19/2020,1.46,-0.853,3.81,-4.29,0.0441,6.23,7.19,-0.932,-1.65
2500,01/19/2020,0.832,-0.723,3.82,-0.714,-0.0832,1.46,3.63,-0.0673,-0.0231
3400,01/19/2020,1.6,1.16,9.23,-1.97,1.09,-0.455,3.89,-0.536,-2.02
3600,01/19/2020,1.33,1.12,5.67,-1.26,0.296,-1.17,3.28,-0.701,-1.58
4400,01/19/2020,-0.203,-1.44,-28.7,-1.45,2.14,-10.4,-2.93,4.89,7.39
900,01/20/2020,6.23,6.94,2.65,5.42,10.8,-1.79,3.8,9.22,8.05
2500,01/20/2020,5.37,3.88,7.33,7.25,10.1,-1.45,10.7,8.15,5.79
3400,01/20/2020,2.83,3.21,9.51,0.673,5.76,1.84,2.84,2.99,0.503
3600,01/20/2020,4.51,4.5,7.12,4.19,8.02,-0.337,5.1,5.74,3.62
4400,01/20/2020,2.79,-0.0338,-34.1,5.45,9.49,-10.9,-17.3,11.3,12.8
900,01/21/2020,8.64,9.03,7.38,3.92,12.4,8.88,3.16,7.38,3.73
2500,01/21/2020,3.23,0.848,0.163,-0.13,4.42,3.79,3,2.51,0.138
3400,01/21/2020,2.28,0.18,7.63,-3.19,2.83,0.335,0.0909,-0.34,-3.24
